Rank,Pisciner,Level
1,apuel,8.98
2,ashih,8.47
3,maljean,7.87
4,pjha,7.86
5,husui,7.65
6,lilam,7.32
7,tadey,7.25
8,mbrown,7.05
9,nwhitlow,7.02
10,nmolina,6.86
11,pzhang,6.52
12,aschnapp,6.34
13,slynn-ev,6.14
14,jhoxha,6.03
15,yazhu,5.93
16,avalsan,5.90
17,bchan,5.88
18,dcisnero,5.75
19,ttran,5.61
20,jadawson,5.60
21,kvilnite,5.56
22,vpupkin,5.22
23,hramirez,5.20
24,bceballo,5.18
25,laustin,5.15
26,motorres,5.14
27,amwangal,5.02
28,ralee,5.02
29,naunin,4.95
30,enennige,4.90
31,ekhudiak,4.89
32,tdalifar,4.82
33,wzhan,4.68
34,dysotoma,4.55
35,ytuz,4.42
36,rkwon,4.35
37,aisa,4.25
38,ccheney,4.23
39,dsilva,4.18
40,scamargo,4.15
41,mtolstok,4.12
42,ndoorn,4.11
43,mchristo,4.06
44,mkass,4.03
45,jmurte,4.00
46,jizheng,3.95
47,jtan,3.66
48,ktjhan,3.65
49,jsoutelo,3.54
50,pnarayan,3.52
51,dphuntso,3.41
52,fclaude,3.24
53,lmartine,3.24
54,slin,3.18
55,eduprat,3.16
56,tyang,3.16
57,iamarill,3.12
58,atemunov,3.10
59,zfeng,3.05
60,psanchez,3.03
61,ststeinb,3.03
62,yilu,3.01
63,nmichaud,2.87
64,pnunez,2.71
65,lnakle,2.58
66,wechen,2.58
67,supark,2.54
68,efriedma,2.53
69,ievteev,2.52
70,lbeserra,2.50
71,dezzeddi,2.42
72,jfleisch,2.35
73,wzhou,2.32
74,ldury,2.27
75,jgaitan,2.25
76,ethomas,2.23
77,olfriedh,2.22
78,lmevisse,2.19
79,ckoon,2.18
80,loigarci,2.08
81,lcaldero,2.02
82,pstringe,1.90
83,ssong,1.87
84,mvon-lut,1.85
85,ispirido,1.80
86,atsai,1.63
87,wwu,1.58
88,jolevy,1.39
89,zhzhang,1.38
90,vsergeev,1.35
91,kbaker,1.23
92,barellan,1.10
93,coswold,1.10
94,sjelic,1.03
95,dperera,0.94
96,lpang,0.88
97,ayang,0.61
98,gdelos-s,0.61
99,schelbi,0.56
100,mbyrne,0.47
101,kpuschel,0.44
102,vkanyuru,0.30
103,jdeng,0.26
104,monyon,0.26
105,rangossi,0.26
106,ssuh,0.26
107,lwarneke,0.23
108,tzheng,0.23
109,agonthie,0.22
110,jhamilto,0.21
,,
unranked,aasl-teh,0.00
unranked,acolon,0.00
unranked,anhnguye,0.00
unranked,cperry,0.00
unranked,dfoudeh,0.00
unranked,fcrespo,0.00
unranked,fquintan,0.00
unranked,hhamerma,0.00
unranked,hvinueza,0.00
unranked,jbae,0.00
unranked,jmartine,0.00
unranked,jvelasqu,0.00
unranked,lgoldste,0.00
unranked,lphatsoa,0.00
unranked,macree,0.00
unranked,mtrotta,0.00
unranked,ronicola,0.00
unranked,tgaringe,0.00
unranked,vynguyen,0.00
,,
Total Pisciners,,129
Total Survivors,,110
Total Drowned,,19
Average Level,,3.45
