Rank,Pisciner,Level
1,yahuang,8.84
2,lmai,8.56
3,dfinnis,7.98
4,kfonda,7.09
5,davzheng,6.52
6,junwkim,6.51
7,rstohr,6.50
8,bvilla,6.31
9,lrudowic,6.25
10,asansyzb,6.20
11,tidadi,6.06
12,mparsaca,5.82
13,moedun,5.68
14,mputra,5.59
15,skunz,5.29
16,anjansse,5.21
17,mhally,5.18
18,hayele,5.08
19,ndiaz-ac,5.03
20,thonelso,5.01
21,pisophy,4.89
22,amohamed,4.56
23,rothomps,4.56
24,vdauverg,4.55
25,maseidua,4.51
26,vlhomme,4.35
27,nhuth,4.31
28,gdjonret,4.21
29,hsides,4.21
30,jeliu,4.02
31,lphan,4.01
32,koli,3.95
33,nrusso,3.86
34,vdelgado,3.84
35,ereyes,3.82
36,pkliem,3.74
37,vmuradia,3.70
38,jpeters,3.69
39,pavtigun,3.68
40,haltall,3.60
41,ieropaie,3.49
42,kegeorge,3.46
43,aclement,3.41
44,changuye,3.36
45,wjean-ba,3.31
46,mohhassa,3.29
47,ytsungyu,3.29
48,rfrigo,3.27
49,spoole,3.26
50,thcollar,3.26
51,awestfie,3.24
52,smbaabu,3.21
53,ninnguye,3.13
54,yizhwang,3.09
55,drhett,3.06
56,bebaral,3.03
57,vraia,3.01
58,maskrypk,2.96
59,bcastro,2.84
60,hbhuiyan,2.84
61,dromansk,2.77
62,nozoemen,2.50
63,aruiz-ba,2.48
64,rcola,2.27
65,ajean-ba,2.20
66,chialin,2.09
67,dghinea,2.05
68,lmoizan,2.02
69,lnoomene,2.00
70,mfarneja,1.97
71,eesaki,1.96
72,igutierr,1.94
73,achavez,1.89
74,sanis,1.81
75,winorth,1.81
76,xinxu,1.75
77,jgaumier,1.71
78,cheho,1.67
79,asimonia,1.66
80,jecope,1.64
81,muelfaha,1.60
82,stanaka,1.58
83,azhang,1.56
84,gmachado,1.56
85,padorsaz,1.56
86,ashokpar,1.53
87,brlevy,1.41
88,suuddin,1.39
89,psorys,1.35
90,iperez,1.33
91,albarret,1.32
92,fepinson,1.32
93,faugusti,1.20
94,spezzaio,1.18
95,bzamora,1.16
96,mbrave,1.15
97,galee,1.11
98,wclark,1.05
99,mjayanna,1.02
100,lsimpkin,0.96
101,emiwu,0.95
102,jinocenc,0.88
103,miduphay,0.80
104,bkeune,0.79
105,mieekhof,0.77
106,jlagos,0.73
107,suesugi,0.72
108,hcampbel,0.69
109,nolkim,0.69
110,dgeismar,0.67
111,jogutier,0.67
112,fsiika,0.65
113,bmejia,0.61
114,agrobman,0.58
115,sulevy,0.57
116,cmoon,0.54
117,bcantrel,0.53
118,cluu,0.53
119,mtorbey,0.53
120,janlee,0.46
121,nknoll,0.45
122,gsanches,0.44
123,zzhai,0.44
124,aadkins,0.27
125,adyu,0.27
126,dohong,0.27
127,nraman,0.27
128,rgatus,0.27
129,jnice,0.26
130,mipetrid,0.26
131,swebster,0.26
132,jmooney,0.25
133,vperes-f,0.25
134,dupton,0.23
135,lforsyth,0.23
136,mspelger,0.23
137,sbhomkar,0.23
138,tleighto,0.20
,,
unranked,aadesany,0.00
unranked,ajimenez,0.00
unranked,ajpatel,0.00
unranked,anpham,0.00
unranked,arattan,0.00
unranked,bgraves,0.00
unranked,bkidi,0.00
unranked,ccruz,0.00
unranked,chadli,0.00
unranked,chan,0.00
unranked,dvargas-,0.00
unranked,edawson,0.00
unranked,emendoza,0.00
unranked,ezmurk,0.00
unranked,haebadi,0.00
unranked,jaisaac,0.00
unranked,jathind,0.00
unranked,jiguo,0.00
unranked,jopierre,0.00
unranked,lcabuto,0.00
unranked,mbarajas,0.00
unranked,mpinnama,0.00
unranked,mstephen,0.00
unranked,nrana,0.00
unranked,ramullan,0.00
unranked,roli,0.00
unranked,sbeugre,0.00
unranked,sgelle,0.00
unranked,sshakya,0.00
unranked,tiyang,0.00
unranked,txia,0.00
unranked,yuli,0.00
,,
Total Pisciners,,170
Total Survivors,,138
Total Drowned,,32
Piscine Level,,2.58
