Rank,Pisciner,Level
1,brbixby,7.78
2,bhsu-,7.68
3,ccheolun,7.50
4,rzust,7.30
5,jebae,7.09
6,shoachen,7.05
7,ryared,6.93
8,adrean,6.92
9,kechen,6.88
10,ale-goff,6.85
11,huyin,6.79
12,qpeng,6.65
13,knaumov,6.47
14,vlazuka,6.37
15,tkobb,6.30
16,chsu,6.18
17,kuachen,6.11
18,nhennigh,6.10
19,xwang,6.08
20,jtong,6.05
21,asalihov,6.03
22,tcho,6.03
23,dfan,5.92
24,viwade,5.84
25,akikalia,5.82
26,llu,5.81
27,jcarpio-,5.65
28,hryu,5.41
29,wenzheng,5.41
30,awhite,5.32
31,riskhako,5.30
32,bashanka,5.17
33,aabdrakh,5.13
34,kachen2,5.12
35,mashroff,5.07
36,apires,4.93
37,vlahorba,4.93
38,pgarg,4.91
39,jtseng,4.84
40,rbordiya,4.78
41,sedel-mu,4.78
42,jerles,4.75
43,ychi,4.75
44,amedvede,4.74
45,biswbara,4.64
46,mtaylor,4.63
47,yuhuang,4.62
48,callen,4.59
49,jcornil,4.58
50,acarlson,4.53
51,lfox,4.53
52,dolim,4.51
53,ntuzun,4.46
54,nazkalid,4.40
55,cellis,4.37
56,ncollie,4.37
57,vhunt,4.37
58,levstrat,4.35
59,vsaponen,4.31
60,ethmalte,4.27
61,evjohnst,4.25
62,chali,4.22
63,jcruz-y-,4.22
64,akali,4.18
65,yding,4.18
66,chkim,4.08
67,ndanilov,4.01
68,acalona-,3.92
69,tholzheu,3.89
70,pfrancin,3.87
71,vsmolii,3.87
72,vakumar,3.86
73,arherrer,3.85
74,medun,3.80
75,jcope,3.79
76,hirpatel,3.75
77,jbyeon,3.75
78,mvilar-g,3.75
79,jwasham,3.73
80,juxu,3.70
81,rpachipa,3.69
82,tegordon,3.69
83,dakim,3.65
84,kyukim,3.65
85,hlee,3.53
86,lxiong,3.52
87,srocha,3.44
88,lyoung-j,3.43
89,hebadi,3.41
90,fyang,3.38
91,dgoyal,3.35
92,jlevine,3.34
93,bschwiet,3.32
94,kquan,3.30
95,chmondev,3.29
96,dprevost,3.25
97,cemirafl,3.12
98,bchen,3.09
99,kbouazou,3.04
100,fgenoves,3.00
101,ke-chen,2.98
102,yjeong,2.91
103,youchang,2.91
104,fprevela,2.88
105,rcross,2.87
106,zhliu,2.86
107,jtaylor,2.75
108,mthoelen,2.75
109,asilva,2.71
110,dgniadec,2.67
111,mchandle,2.59
112,aworth,2.54
113,mspirit,2.54
114,rogill,2.49
115,jkosloff,2.48
116,kbojorqu,2.48
117,sadubois,2.34
118,shsieh,2.29
119,ltzu-hsi,2.26
120,ggurumur,2.25
121,lmalki-h,2.18
122,svaddadh,2.18
123,patigunt,2.16
124,nflouty,2.09
125,jhatting,2.07
126,shatting,1.98
127,rkerwin,1.96
128,meng,1.83
129,abarrett,1.77
130,mhassan,1.75
131,cmacias,1.71
132,rcombe,1.71
133,jwanjiru,1.69
134,andmarti,1.68
135,perjavec,1.67
136,hykim,1.60
137,rguan,1.58
138,zeli,1.56
139,xinzhang,1.48
140,abosman,1.46
141,amokhtaf,1.45
142,vnugroho,1.33
143,grantbow,1.31
144,zfu,1.27
145,holi,1.24
146,psophy,1.21
147,wweng,1.10
148,wjohanso,1.08
149,chilin,1.07
150,cschulle,1.05
151,nwidaha,0.97
152,gbagaev,0.96
153,jezheng,0.89
154,nmatsumo,0.89
155,suanand,0.89
156,vribeiro,0.84
157,agauthie,0.81
158,eallegre,0.81
159,oosanyin,0.76
160,pkarich,0.76
161,lcros,0.75
162,srose,0.70
163,nminguet,0.64
164,asindhu,0.62
165,jchan,0.52
166,jvielmas,0.50
167,matmateo,0.49
168,wshao,0.49
169,ajsathis,0.48
170,dbadlani,0.47
171,jlehrer,0.46
172,meekhof,0.45
173,avielmas,0.44
174,dbismal,0.44
175,mdaniely,0.44
176,adeng,0.27
177,cmangum,0.27
178,ediaz,0.27
179,enche,0.27
180,jgutierr,0.27
181,kminhyeo,0.27
182,mabella-,0.27
183,mduphay,0.27
184,thammond,0.27
185,thsu,0.27
186,visingh,0.27
187,bolam,0.26
188,dsantos,0.26
189,kkhoshkh,0.26
190,wlyu,0.25
191,brios,0.23
192,malseddi,0.23
193,rbabaci,0.23
194,uogbeide,0.23
195,zzheng,0.23
196,cfang-ro,0.21
197,ychao,0.21
,,
unranked,aalseddi,0.00
unranked,aaraya,0.00
unranked,aigupta,0.00
unranked,ale-post,0.00
unranked,alee,0.00
unranked,amsingh,0.00
unranked,azheng,0.00
unranked,cado,0.00
unranked,cechung-,0.00
unranked,cforehan,0.00
unranked,chchoi,0.00
unranked,clau,0.00
unranked,ctraxler,0.00
unranked,dvang,0.00
unranked,edontsov,0.00
unranked,eshemash,0.00
unranked,frcheten,0.00
unranked,gchendic,0.00
unranked,hsuzuki,0.00
unranked,kgeorge,0.00
unranked,kuagarwa,0.00
unranked,lhoang,0.00
unranked,omahdavi,0.00
unranked,pagarwal,0.00
unranked,ptalreja,0.00
unranked,rmorrar,0.00
unranked,rogarcia,0.00
unranked,rtenant-,0.00
unranked,srajavar,0.00
unranked,swen,0.00
unranked,tsaephan,0.00
unranked,vlau,0.00
unranked,vmehta,0.00
unranked,wejiang,0.00
unranked,zhchen,0.00
,,
Total Pisciners,,232
Total Survivors,,197
Total Drowned,,35
Average Level,,3.06
