Rank,Pisciner,Level
1,skuntoji,9.38
2,abhaviri,8.62
3,cschreib,7.88
4,mplaza,7.86
5,ewolf,7.77
6,jsteinbe,7.77
7,wbao,7.76
8,zrogers,7.66
9,ikourkji,7.54
10,dwidjaja,7.36
11,hadolfss,6.96
12,doyang,6.88
13,kachan,6.80
14,dlim,6.76
15,lochen,6.73
16,fnilsson,6.62
17,tmercer,6.51
18,ayadav,6.29
19,jbeall,6.29
20,jrey,6.19
21,oaaron,6.13
22,rhayat,6.12
23,makwan,6.00
24,jheo,5.99
25,nokiddy,5.96
26,nmorales,5.81
27,tazhang,5.53
28,ybenkira,5.47
29,pmigeon,5.39
30,prishah,5.39
31,bsaadat,5.35
32,sosong,5.34
33,ihuang,5.32
34,vagushev,5.30
35,ghdesfos,5.28
36,sahan,5.20
37,jahong,5.14
38,wchan,5.13
39,jcrisp,5.08
40,pmuncrie,5.05
41,chapark,4.98
42,vkirakos,4.97
43,eukim,4.95
44,jiali,4.87
45,argonthi,4.73
46,gchen,4.72
47,ksriniva,4.63
48,kaanggas,4.51
49,amelikia,4.50
50,chatran,4.49
51,brtucker,4.45
52,chrsilva,4.44
53,pdoherty,4.42
54,camirafl,4.40
55,jasensio,4.28
56,zli,4.28
57,imgutier,4.24
58,mpandey,4.24
59,sikim,4.24
60,yawang,4.22
61,bvon-mer,4.11
62,andnguye,4.10
63,bsingh,4.03
64,gsong,4.02
65,chpark,3.89
66,areyes-v,3.81
67,mcols,3.78
68,kaichen,3.75
69,vvaras,3.73
70,aurata,3.69
71,zalterma,3.64
72,ykim,3.63
73,esantaca,3.55
74,miwang,3.49
75,emwu,3.45
76,mpas,3.44
77,bbixby,3.42
78,aayrapet,3.26
79,jaaaron,3.25
80,mklaus,3.19
81,bsilan,3.18
82,harssing,3.13
83,dduarte,3.10
84,iwillis,3.03
85,llee,3.03
86,bgonzale,2.93
87,poh,2.90
88,azkeever,2.86
89,lhan,2.80
90,adiorio,2.58
91,apiron,2.55
92,balatish,2.46
93,bbautist,2.33
94,yunzhang,2.33
95,fguerrer,2.26
96,pcanete,2.24
97,omnoqui,2.23
98,ssundara,2.22
99,bscussel,2.17
100,bshankam,2.07
101,zalaoudi,1.96
102,ssaif,1.92
103,qchen,1.89
104,gmertens,1.87
105,jeyu,1.83
106,dsong,1.78
107,lgreen,1.72
108,mamateo,1.69
109,mfarzan,1.67
110,jlubos,1.65
111,mmuina-f,1.62
112,tcardoza,1.58
113,mskrypka,1.53
114,hjun,1.45
115,vkumar,1.40
116,pdutra,1.39
117,bcobanog,1.32
118,lito-fis,1.28
119,wzheng,1.27
120,zwu,1.22
121,bisbaral,1.21
122,dharting,1.19
123,bfeltz,1.14
124,kawang,1.14
125,fcheteni,1.13
126,gbrady,1.05
127,argonzal,1.02
128,psmadja,0.97
129,bcadel,0.88
130,jgarrett,0.74
131,schoi,0.74
132,rylee,0.73
133,shiroji,0.73
134,gbeckert,0.63
135,adelahod,0.51
136,idiaite,0.49
137,tcheng,0.48
138,nacogny,0.46
139,saross,0.46
140,qli,0.38
141,ncastill,0.27
142,ywu,0.27
143,chli,0.26
144,sdayatar,0.26
145,jstewart,0.25
146,chvasque,0.23
147,dortega,0.23
148,jasingh,0.23
149,tgordon,0.21
,,
unranked,aalves-d,0.00
unranked,abista,0.00
unranked,akoshele,0.00
unranked,arodrigu,0.00
unranked,awattley,0.00
unranked,chcarpen,0.00
unranked,cmunoz,0.00
unranked,cramacha,0.00
unranked,digonzal,0.00
unranked,dwondim,0.00
unranked,fzhao,0.00
unranked,gmatej-b,0.00
unranked,helin,0.00
unranked,hkim,0.00
unranked,hli,0.00
unranked,hmehdavi,0.00
unranked,hwu,0.00
unranked,jefsuare,0.00
unranked,jescote,0.00
unranked,jzhu,0.00
unranked,luiherna,0.00
unranked,mlane,0.00
unranked,mmarcos,0.00
unranked,mnie,0.00
unranked,mrbt,0.00
unranked,mtavares,0.00
unranked,nadams,0.00
unranked,ojbrahme,0.00
unranked,rcrews,0.00
unranked,rgarcia,0.00
unranked,rgill,0.00
unranked,rwyatt-,0.00
unranked,tosun,0.00
unranked,twilhite,0.00
unranked,vchadala,0.00
unranked,yuzhang,0.00
unranked,yzhou,0.00
,,
Total Pisciners,,186
Total Survivors,,149
Total Drowned,,37
Average Level,,3.50
