Rank,Pisciner,Level
1,mchuang,8.95
2,hule,8.73
3,alwang,8.27
4,hypark,7.21
5,shuzhang,6.98
6,syamada,6.98
7,ggnanend,6.78
8,chlin,6.73
9,ccodiga,6.65
10,zwang,6.59
11,thtran,6.39
12,mcarney,6.32
13,lfriedri,6.29
14,kachen,6.17
15,sharris,6.02
16,szheng,5.99
17,knguyen-,5.77
18,llelias,5.76
19,kumuniam,5.73
20,hderan,5.61
21,lfiuza,5.57
22,cazheng,5.46
23,dpeck,5.46
24,jcasian,5.42
25,iglucic,5.21
26,obibik,5.11
27,rsharipo,5.05
28,grapapor,4.96
29,mpetruse,4.93
30,csong,4.92
31,szhuang,4.86
32,aljohnso,4.83
33,rquerino,4.80
34,fromo,4.75
35,kbui,4.73
36,dkao,4.72
37,hulin,4.66
38,ashwong,4.64
39,npederse,4.60
40,dknoll,4.54
41,juwong,4.54
42,rejocic,4.51
43,gcaixeta,4.48
44,cgerlach,4.37
45,apetrech,4.35
46,rdelaney,4.33
47,yayang,4.30
48,kthornto,4.18
49,dcordova,4.00
50,npaulite,3.96
51,csanders,3.93
52,chmannin,3.89
53,sbang,3.87
54,yserkez,3.86
55,cplourd,3.83
56,hchung,3.73
57,dbrodovi,3.66
58,avestfal,3.60
59,jmaydew,3.55
60,lkunz,3.50
61,alfcolon,3.48
62,spushkin,3.41
63,minjkim,3.36
64,sbath,3.33
65,dkotov,3.32
66,colee,3.19
67,dgonzale,3.15
68,jolam,3.15
69,tgontier,3.12
70,jhuang,3.07
71,olifried,3.07
72,gscott,3.03
73,gspound,3.03
74,depham,2.99
75,jkellehe,2.99
76,ewu,2.98
77,tykim,2.82
78,mezheng,2.81
79,fkarnats,2.74
80,wshan,2.70
81,yimamura,2.67
82,jleite,2.57
83,ssazdar,2.41
84,jaqueen,2.38
85,aalhomai,2.37
86,jalgier,2.29
87,schitlan,2.13
88,jrobinso,2.11
89,tahn,2.08
90,vihuynh,2.06
91,zpeng,2.06
92,ikim,2.04
93,kho,1.93
94,vilam,1.87
95,yochang,1.81
96,asathish,1.80
97,sbaz,1.71
98,yijhuang,1.71
99,rthompso,1.63
100,sgrindhe,1.58
101,urosano,1.58
102,bshort,1.56
103,isabalza,1.39
104,oyang,1.39
105,cwood,1.35
106,btucker,1.30
107,onoqui,1.26
108,gqiao,1.25
109,jgaetan,1.10
110,kbheemap,0.92
111,kghanbar,0.88
112,thnelson,0.86
113,kanggasa,0.80
114,jrosen,0.79
115,wnorth,0.76
116,dali,0.71
117,cmiraflo,0.68
118,gxu,0.67
119,jvelandi,0.67
120,aunlin,0.49
121,jcereced,0.49
122,tsaint,0.47
123,kdemianc,0.27
124,siroji,0.27
125,jfrankli,0.26
126,lbinda,0.26
127,mjanssen,0.26
128,sbhatia,0.26
129,tcarlson,0.26
130,cbrabet,0.25
131,jarude,0.25
132,salvarez,0.25
133,dahernan,0.23
134,hcastane,0.23
135,jaaron,0.23
136,mrose,0.23
137,tzhang,0.23
,,
unranked,abeinafk,0.00
unranked,aswhite,0.00
unranked,bbaral,0.00
unranked,bbonino,0.00
unranked,blevy,0.00
unranked,cvasquez,0.00
unranked,elevin,0.00
unranked,hakim,0.00
unranked,hkunamne,0.00
unranked,hloucif,0.00
unranked,jjamon,0.00
unranked,jjayaraj,0.00
unranked,judurani,0.00
unranked,junkim,0.00
unranked,kjuarez-,0.00
unranked,lmoe,0.00
unranked,loferrei,0.00
unranked,mchastan,0.00
unranked,mciolac,0.00
unranked,mdamak,0.00
unranked,meiwang,0.00
unranked,mrey,0.00
unranked,mshroff,0.00
unranked,nflowers,0.00
unranked,nyuldash,0.00
unranked,pesposit,0.00
unranked,pfulcher,0.00
unranked,rbraga,0.00
unranked,slevy,0.00
unranked,tboylorn,0.00
unranked,tdeloing,0.00
unranked,tlutvali,0.00
unranked,tzagorui,0.00
unranked,vibrahim,0.00
unranked,ylei,0.00
unranked,yuxchen,0.00
unranked,ziwang,0.00
,,
Total Pisciners,,174
Total Survivors,,137
Total Drowned,,37
Average Level,,3.22
